t,stamp,mug_marian,mug_theo,bowl_shared_1,plate_shared_1,laptop_marian,phone_marian,phone_theo,tablet_theo,keys_marian,keys_theo,wallet_marian,wallet_theo,book_marian,book_theo,water_bottle_marian,water_bottle_theo,remote_shared_1,charger_marian,charger_theo,backpack_marian,backpack_theo,jacket_marian,jacket_theo,glasses_marian,glasses_theo,notebook_marian,notebook_theo,pen_marian,medication_bottle_marian,medication_bottle_theo,blanket_marian,blanket_theo,towel_shared_1,umbrella_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,pot_shared_1,pan_shared_1,watering_can_marian,yoga_mat_theo
0,d00 Mon 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
60,d00 Mon 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
120,d00 Mon 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
180,d00 Mon 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
240,d00 Mon 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
300,d00 Mon 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
360,d00 Mon 06:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
420,d00 Mon 07:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
480,d00 Mon 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
540,d00 Mon 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
600,d00 Mon 10:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,living,living,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
660,d00 Mon 11:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,kitchen,entry,kitchen,living,living,entry,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
720,d00 Mon 12:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,kitchen,entry,kitchen,living,living,entry,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
780,d00 Mon 13:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,kitchen,entry,kitchen,living,living,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
840,d00 Mon 14:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,kitchen,entry,kitchen,living,living,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
900,d00 Mon 15:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,kitchen,entry,kitchen,living,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
