t,stamp,laptop_nia,phone_nia,keys_nia,wallet_nia,backpack_nia,water_bottle_nia,notebook_nia,pen_nia,mug_nia,book_nia,blanket_nia,charger_nia,jacket_nia,laundry_basket_nia,laptop_mateo,phone_mateo,keys_mateo,wallet_mateo,backpack_mateo,headphones_mateo,notebook_mateo,pen_mateo,mug_mateo,gaming_controller_mateo,charger_mateo,jacket_mateo,phone_priya,keys_priya,wallet_priya,backpack_priya,water_bottle_priya,jacket_priya,umbrella_priya,yoga_mat_priya,lunchbox_priya,hairbrush_priya,medication_bottle_priya,bowl_shared_1,plate_shared_1,plate_shared_2,pot_shared_1,pan_shared_1,remote_shared_1,vacuum_cleaner_shared_1,towel_shared_1,laundry_basket_shared_1
0,d00 Mon 00:00,bedroom_1,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,living,living,bedroom_1,entry,bedroom_1,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,kitchen,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
60,d00 Mon 01:00,bedroom_1,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,living,living,bedroom_1,entry,bedroom_1,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,kitchen,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
120,d00 Mon 02:00,bedroom_1,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,living,living,bedroom_1,entry,bedroom_1,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,kitchen,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
180,d00 Mon 03:00,bedroom_1,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,living,living,bedroom_1,entry,bedroom_1,bedroom_2,bedroom_2,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,kitchen,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
240,d00 Mon 04:00,bedroom_1,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,living,living,bedroom_1,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,kitchen,entry,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
300,d00 Mon 05:00,bedroom_1,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,living,living,bedroom_1,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,kitchen,entry,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
360,d00 Mon 06:00,bedroom_1,entry,entry,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,living,living,bedroom_1,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bedroom_2,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
420,d00 Mon 07:00,bedroom_1,entry,entry,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,living,living,bedroom_1,entry,bedroom_1,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_2,kitchen,living,bedroom_2,outside,bedroom_3,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
480,d00 Mon 08:00,outside,outside,outside,outside,outside,outside,outside,bedroom_1,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_2,bedroom_2,living,bedroom_2,outside,bedroom_3,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
540,d00 Mon 09:00,outside,outside,outside,outside,outside,outside,outside,bedroom_1,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_2,bedroom_2,living,bedroom_2,outside,bedroom_3,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
