t,stamp,phone_marie,keys_marie,wallet_marie,laptop_marie,charger_marie,backpack_marie,jacket_marie,water_bottle_marie,mug_marie,bowl_marie,plate_marie,pot_shared_1,pan_shared_1,book_marie,notebook_marie,pen_marie,headphones_marie,remote_shared_1,blanket_marie,yoga_mat_marie,towel_marie,laundry_basket_marie,hairbrush_marie,umbrella_marie,suitcase_marie
0,d00 Mon 00:00,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,living,bathroom,bedroom,bathroom,entry,bedroom
60,d00 Mon 01:00,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,living,bathroom,bedroom,bathroom,entry,bedroom
120,d00 Mon 02:00,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,living,bathroom,bedroom,bathroom,entry,bedroom
180,d00 Mon 03:00,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,living,bathroom,bedroom,bathroom,entry,bedroom
240,d00 Mon 04:00,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,living,bathroom,bedroom,bathroom,entry,bedroom
300,d00 Mon 05:00,bathroom,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,living,bathroom,bedroom,bathroom,entry,bedroom
360,d00 Mon 06:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,entry,bedroom
420,d00 Mon 07:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,kitchen,bathroom,bedroom,outside,outside,outside
480,d00 Mon 08:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,kitchen,bathroom,bedroom,outside,outside,outside
540,d00 Mon 09:00,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,kitchen,bathroom,bedroom,outside,outside,outside
